favorite_Score,favorite_OffensiveYards,favorite_OffensiveYardsPerPlay,favorite_RushingYards,favorite_RushingYardsPerAttempt,favorite_PassingYards,favorite_PassingYardsPerAttempt,favorite_PassingInterceptionPercentage,favorite_TimesSackedPercentage,favorite_OpponentScore,favorite_OpponentOffensiveYards,favorite_OpponentOffensiveYardsPerPlay,favorite_OpponentRushingYards,favorite_OpponentRushingYardsPerAttempt,favorite_OpponentPassingYards,favorite_OpponentPassingYardsPerAttempt,favorite_OpponentPassingInterceptionPercentage,favorite_OpponentTimesSackedPercentage,favorite_PointDifferential,favorite_TurnoverDifferential,favorite_PenaltyYardDifferential,favorite_TimeOfPossession,underdog_Score,underdog_OffensiveYards,underdog_OffensiveYardsPerPlay,underdog_RushingYards,underdog_RushingYardsPerAttempt,underdog_PassingYards,underdog_PassingYardsPerAttempt,underdog_PassingInterceptionPercentage,underdog_TimesSackedPercentage,underdog_OpponentScore,underdog_OpponentOffensiveYards,underdog_OpponentOffensiveYardsPerPlay,underdog_OpponentRushingYards,underdog_OpponentRushingYardsPerAttempt,underdog_OpponentPassingYards,underdog_OpponentPassingYardsPerAttempt,underdog_OpponentPassingInterceptionPercentage,underdog_OpponentTimesSackedPercentage,underdog_PointDifferential,underdog_TurnoverDifferential,underdog_PenaltyYardDifferential,underdog_TimeOfPossession,did_cover
2,1,1,15,19,2,1,10,18,10,1,2,4,5,1,1,10,2,5,23,11,4,18,15,14,3,4,27,16,29,24,27,28,32,22,28,28,32,20,28,24,31,12,6,True
17,27,16,17,10,25,15,18,11,15,26,13,20,7,29,15,17,15,16,19,19,32,12,14,7,11,17,14,4,5,27,1,2,1,1,1,12,1,9,6,3,2,29,8,False
9,3,2,7,3,4,5,7,9,29,30,31,13,11,32,31,23,25,18,13,4,20,25,18,14,30,15,8,16,17,23,21,31,29,26,25,31,28,23,29,27,19,3,23,False
11,6,7,28,19,3,13,19,3,7,4,13,16,17,4,10,32,11,7,23,28,9,24,24,16,19,17,18,13,16,26,16,13,6,6,2,24,20,17,14,20,15,22,24,False
26,31,30,32,10,31,31,22,27,30,29,22,30,20,23,26,11,17,31,22,15,31,6,10,12,2,2,23,16,19,27,20,11,13,29,22,2,12,20,1,14,17,23,5,False
16,22,20,14,25,20,10,6,24,3,10,6,5,7,21,4,11,32,6,9,2,14,31,29,25,20,19,29,21,26,22,13,22,18,27,12,18,27,5,19,23,15,13,28,False
22,20,20,27,32,13,20,22,6,24,15,25,19,20,14,20,14,27,26,25,14,16,32,32,32,13,10,32,32,28,31,26,18,6,23,7,11,15,11,18,32,25,24,30,True
4,4,7,29,25,1,10,12,1,23,20,18,25,25,13,12,31,24,11,19,10,18,19,13,12,26,23,7,7,7,18,32,32,29,31,28,25,30,30,31,29,27,20,29,True
9,3,2,7,3,4,5,7,9,29,30,31,13,11,32,31,23,25,18,13,4,20,7,7,7,16,15,6,7,19,9,31,23,28,12,17,26,28,5,13,21,13,30,13,False
3,2,2,5,1,9,7,9,27,21,12,13,15,13,14,15,2,10,9,5,32,15,18,15,14,3,4,27,16,29,24,27,28,32,22,28,28,32,20,28,24,31,12,6,True
24,24,16,19,17,18,13,16,26,16,13,6,6,2,24,20,17,14,20,15,22,24,14,12,16,1,4,30,23,4,16,11,14,6,14,17,17,6,23,11,13,5,5,7,False
30,21,25,21,29,16,21,24,17,14,6,4,7,3,8,20,28,7,22,29,7,11,13,11,19,4,8,22,23,15,8,6,3,3,3,3,6,4,26,8,8,5,31,2,False
29,23,20,10,8,26,26,32,18,18,8,6,9,7,10,12,16,19,25,29,17,22,15,17,20,23,19,12,29,12,5,19,21,22,24,22,16,23,17,5,17,11,26,19,True
1,8,4,9,10,11,2,1,7,8,25,25,11,13,30,23,3,19,1,1,21,26,28,25,20,18,10,24,26,27,14,28,24,18,32,32,3,15,26,19,30,32,18,25,False
11,6,7,28,19,3,13,19,3,7,4,13,16,17,4,10,32,11,7,23,28,9,5,16,25,12,25,15,23,3,3,5,16,25,10,25,22,15,4,25,4,3,1,1,False
7,5,4,6,6,10,5,31,2,17,7,6,8,13,9,7,15,4,11,18,9,3,17,27,16,17,10,25,15,18,11,15,26,13,20,7,29,15,17,15,16,19,19,32,False
2,1,1,15,19,2,1,10,18,10,1,2,4,5,1,1,10,2,5,23,11,4,23,28,28,31,29,19,26,25,14,25,27,22,21,13,27,23,29,16,28,27,27,27,False
25,18,14,30,15,8,16,17,23,21,31,29,26,25,31,28,23,29,27,19,3,23,26,26,30,25,29,21,30,12,11,12,19,17,17,22,19,10,22,8,19,10,8,17,False
12,14,7,11,17,14,4,5,27,1,2,1,1,1,12,1,9,6,3,2,29,8,20,19,7,8,6,17,10,2,13,9,17,18,28,28,7,7,7,29,15,5,25,12,True
10,9,6,24,25,5,2,10,21,2,5,6,18,28,5,3,1,3,2,4,6,10,21,30,28,22,23,28,16,29,32,4,9,4,2,5,20,7,7,19,10,11,16,21,False
5,16,25,12,25,15,23,3,3,5,16,25,10,25,22,15,4,25,4,3,1,1,24,24,16,19,17,18,13,16,26,16,13,6,6,2,24,20,17,14,20,15,22,24,False
13,11,19,4,8,22,23,15,8,6,3,3,3,3,6,4,26,8,8,5,31,2,28,25,20,18,10,24,26,27,14,28,24,18,32,32,3,15,26,19,30,32,18,25,True
22,20,20,27,32,13,20,22,6,24,15,25,19,20,14,20,14,27,26,25,14,16,31,29,25,20,19,29,21,26,22,13,22,18,27,12,18,27,5,19,23,15,13,28,False
10,9,6,24,25,5,2,10,21,2,5,6,18,28,5,3,1,3,2,4,6,10,15,17,20,23,19,12,29,12,5,19,21,22,24,22,16,23,17,5,17,11,26,19,False
4,4,7,29,25,1,10,12,1,23,20,18,25,25,13,12,31,24,11,19,10,18,18,15,14,3,4,27,16,29,24,27,28,32,22,28,28,32,20,28,24,31,12,6,False
11,6,7,28,19,3,13,19,3,7,4,13,16,17,4,10,32,11,7,23,28,9,32,32,32,13,10,32,32,28,31,26,18,6,23,7,11,15,11,18,32,25,24,30,False
7,5,4,6,6,10,5,31,2,17,7,6,8,13,9,7,15,4,11,18,9,3,21,30,28,22,23,28,16,29,32,4,9,4,2,5,20,7,7,19,10,11,16,21,True
9,3,2,7,3,4,5,7,9,29,30,31,13,11,32,31,23,25,18,13,4,20,6,10,12,2,2,23,16,19,27,20,11,13,29,22,2,12,20,1,14,17,23,5,True
3,2,2,5,1,9,7,9,27,21,12,13,15,13,14,15,2,10,9,5,32,15,25,18,14,30,15,8,16,17,23,21,31,29,26,25,31,28,23,29,27,19,3,23,False
12,14,7,11,17,14,4,5,27,1,2,1,1,1,12,1,9,6,3,2,29,8,16,22,20,14,25,20,10,6,24,3,10,6,5,7,21,4,11,32,6,9,2,14,False
2,1,1,15,19,2,1,10,18,10,1,2,4,5,1,1,10,2,5,23,11,4,26,31,30,32,10,31,31,22,27,30,29,22,30,20,23,26,11,17,31,22,15,31,True
23,28,28,31,29,19,26,25,14,25,27,22,21,13,27,23,29,16,28,27,27,27,26,26,30,25,29,21,30,12,11,12,19,17,17,22,19,10,22,8,19,10,8,17,False
17,27,16,17,10,25,15,18,11,15,26,13,20,7,29,15,17,15,16,19,19,32,19,13,12,26,23,7,7,7,18,32,32,29,31,28,25,30,30,31,29,27,20,29,False
1,8,4,9,10,11,2,1,7,8,25,25,11,13,30,23,3,19,1,1,21,26,30,21,25,21,29,16,21,24,17,14,6,4,7,3,8,20,28,7,22,29,7,11,True
11,6,7,28,19,3,13,19,3,7,4,13,16,17,4,10,32,11,7,23,28,9,26,31,30,32,10,31,31,22,27,30,29,22,30,20,23,26,11,17,31,22,15,31,False
16,22,20,14,25,20,10,6,24,3,10,6,5,7,21,4,11,32,6,9,2,14,19,13,12,26,23,7,7,7,18,32,32,29,31,28,25,30,30,31,29,27,20,29,True
28,25,20,18,10,24,26,27,14,28,24,18,32,32,3,15,26,19,30,32,18,25,18,15,14,3,4,27,16,29,24,27,28,32,22,28,28,32,20,28,24,31,12,6,False
32,32,32,13,10,32,32,28,31,26,18,6,23,7,11,15,11,18,32,25,24,30,21,30,28,22,23,28,16,29,32,4,9,4,2,5,20,7,7,19,10,11,16,21,False
22,20,20,27,32,13,20,22,6,24,15,25,19,20,14,20,14,27,26,25,14,16,20,19,7,8,6,17,10,2,13,9,17,18,28,28,7,7,7,29,15,5,25,12,False
5,16,25,12,25,15,23,3,3,5,16,25,10,25,22,15,4,25,4,3,1,1,31,29,25,20,19,29,21,26,22,13,22,18,27,12,18,27,5,19,23,15,13,28,True
7,7,7,16,15,6,7,19,9,31,23,28,12,17,26,28,5,13,21,13,30,13,17,27,16,17,10,25,15,18,11,15,26,13,20,7,29,15,17,15,16,19,19,32,False
15,17,20,23,19,12,29,12,5,19,21,22,24,22,16,23,17,5,17,11,26,19,26,26,30,25,29,21,30,12,11,12,19,17,17,22,19,10,22,8,19,10,8,17,True
9,3,2,7,3,4,5,7,9,29,30,31,13,11,32,31,23,25,18,13,4,20,7,5,4,6,6,10,5,31,2,17,7,6,8,13,9,7,15,4,11,18,9,3,False
4,4,7,29,25,1,10,12,1,23,20,18,25,25,13,12,31,24,11,19,10,18,14,12,16,1,4,30,23,4,16,11,14,6,14,17,17,6,23,11,13,5,5,7,True
2,1,1,15,19,2,1,10,18,10,1,2,4,5,1,1,10,2,5,23,11,4,6,10,12,2,2,23,16,19,27,20,11,13,29,22,2,12,20,1,14,17,23,5,False
24,24,16,19,17,18,13,16,26,16,13,6,6,2,24,20,17,14,20,15,22,24,3,2,2,5,1,9,7,9,27,21,12,13,15,13,14,15,2,10,9,5,32,15,False
10,9,6,24,25,5,2,10,21,2,5,6,18,28,5,3,1,3,2,4,6,10,25,18,14,30,15,8,16,17,23,21,31,29,26,25,31,28,23,29,27,19,3,23,False
13,11,19,4,8,22,23,15,8,6,3,3,3,3,6,4,26,8,8,5,31,2,29,23,20,10,8,26,26,32,18,18,8,6,9,7,10,12,16,19,25,29,17,22,True
21,30,28,22,23,28,16,29,32,4,9,4,2,5,20,7,7,19,10,11,16,21,23,28,28,31,29,19,26,25,14,25,27,22,21,13,27,23,29,16,28,27,27,27,False
13,11,19,4,8,22,23,15,8,6,3,3,3,3,6,4,26,8,8,5,31,2,19,13,12,26,23,7,7,7,18,32,32,29,31,28,25,30,30,31,29,27,20,29,True
10,9,6,24,25,5,2,10,21,2,5,6,18,28,5,3,1,3,2,4,6,10,30,21,25,21,29,16,21,24,17,14,6,4,7,3,8,20,28,7,22,29,7,11,False
9,3,2,7,3,4,5,7,9,29,30,31,13,11,32,31,23,25,18,13,4,20,14,12,16,1,4,30,23,4,16,11,14,6,14,17,17,6,23,11,13,5,5,7,False
29,23,20,10,8,26,26,32,18,18,8,6,9,7,10,12,16,19,25,29,17,22,7,7,7,16,15,6,7,19,9,31,23,28,12,17,26,28,5,13,21,13,30,13,True
1,8,4,9,10,11,2,1,7,8,25,25,11,13,30,23,3,19,1,1,21,26,16,22,20,14,25,20,10,6,24,3,10,6,5,7,21,4,11,32,6,9,2,14,False
7,5,4,6,6,10,5,31,2,17,7,6,8,13,9,7,15,4,11,18,9,3,15,17,20,23,19,12,29,12,5,19,21,22,24,22,16,23,17,5,17,11,26,19,False
3,2,2,5,1,9,7,9,27,21,12,13,15,13,14,15,2,10,9,5,32,15,5,16,25,12,25,15,23,3,3,5,16,25,10,25,22,15,4,25,4,3,1,1,True
12,14,7,11,17,14,4,5,27,1,2,1,1,1,12,1,9,6,3,2,29,8,31,29,25,20,19,29,21,26,22,13,22,18,27,12,18,27,5,19,23,15,13,28,True
24,24,16,19,17,18,13,16,26,16,13,6,6,2,24,20,17,14,20,15,22,24,6,10,12,2,2,23,16,19,27,20,11,13,29,22,2,12,20,1,14,17,23,5,True
2,1,1,15,19,2,1,10,18,10,1,2,4,5,1,1,10,2,5,23,11,4,26,26,30,25,29,21,30,12,11,12,19,17,17,22,19,10,22,8,19,10,8,17,False
11,6,7,28,19,3,13,19,3,7,4,13,16,17,4,10,32,11,7,23,28,9,20,19,7,8,6,17,10,2,13,9,17,18,28,28,7,7,7,29,15,5,25,12,True
4,4,7,29,25,1,10,12,1,23,20,18,25,25,13,12,31,24,11,19,10,18,25,18,14,30,15,8,16,17,23,21,31,29,26,25,31,28,23,29,27,19,3,23,False
17,27,16,17,10,25,15,18,11,15,26,13,20,7,29,15,17,15,16,19,19,32,18,15,14,3,4,27,16,29,24,27,28,32,22,28,28,32,20,28,24,31,12,6,True
5,16,25,12,25,15,23,3,3,5,16,25,10,25,22,15,4,25,4,3,1,1,22,20,20,27,32,13,20,22,6,24,15,25,19,20,14,20,14,27,26,25,14,16,True
16,22,20,14,25,20,10,6,24,3,10,6,5,7,21,4,11,32,6,9,2,14,28,25,20,18,10,24,26,27,14,28,24,18,32,32,3,15,26,19,30,32,18,25,False
24,24,16,19,17,18,13,16,26,16,13,6,6,2,24,20,17,14,20,15,22,24,32,32,32,13,10,32,32,28,31,26,18,6,23,7,11,15,11,18,32,25,24,30,False
21,30,28,22,23,28,16,29,32,4,9,4,2,5,20,7,7,19,10,11,16,21,25,18,14,30,15,8,16,17,23,21,31,29,26,25,31,28,23,29,27,19,3,23,False
19,13,12,26,23,7,7,7,18,32,32,29,31,28,25,30,30,31,29,27,20,29,6,10,12,2,2,23,16,19,27,20,11,13,29,22,2,12,20,1,14,17,23,5,False
